    PlotNo	    LeafNo	    RankNo	     SegNo	LnghtSum	diamter
      NotA	         2	         3	         1	0	0.175
      NotA	         2	         3	         2	0.151	0.23
      NotA	         2	         3	         3	0.221	0.25
      NotA	         2	         3	         4	0.352	0.197
      NotA	         2	         3	         5	0.493	0.057
      NotA	         2	         3	         6	0.632	0.306
      NotA	         2	         3	         7	0.813	0.36
      NotA	         2	         3	         8	1.0	0.41
      NotA	         2	         3	         9	1.071	0.417
      NotA	         2	         3	        10	1.226	0.451
      NotA	         2	         3	        11	1.306	0.472
      NotA	         2	         3	        12	1.449	0.513
      NotA	         2	         3	        13	1.529	0.51
      NotA	         2	         3	        14	1.663	0.57
      NotA	         2	         3	        15	1.755	0.577
      NotA	         2	         3	        16	1.913	0.652
      NotA	         2	         3	        17	1.993	0.647
      NotA	         2	         3	        18	2.155	0.72
      NotA	         2	         3	        19	2.335	0.74
      NotA	         2	         3	        20	2.435	0.74
      NotA	         2	         3	        21	2.565	0.786
      NotA	         2	         3	        22	2.646	0.78
      NotA	         2	         3	        23	2.787	0.791
      NotA	         2	         3	        24	2.877	0.78
      NotA	         2	         3	        25	3.011	0.835
      NotA	         2	         3	        26	3.082	0.82
      NotA	         2	         3	        27	3.249	0.881
      NotA	         2	         3	        28	3.319	0.885
      NotA	         2	         3	        29	3.477	0.991
      NotA	         2	         3	        30	3.557	0.986
      NotA	         2	         3	        31	3.678	0.99
      NotA	         2	         3	        32	3.728	1.081
      NotA	         2	         3	        33	3.798	1.051
      NotA	         2	         3	        34	3.96	1.12
      NotA	         2	         3	        35	4.16	1.116
      NotA	         2	         3	        36	4.24	1.125
      NotA	         2	         3	        37	4.373	1.11
      NotA	         2	         3	        38	4.454	1.1
      NotA	         2	         3	        39	4.604	1.09
      NotA	         2	         3	        40	4.674	1.1
      NotA	         2	         3	        41	4.868	1.07
      NotA	         2	         3	        42	5.07	1.02
      NotA	         2	         3	        43	5.15	1.021
      NotA	         2	         3	        44	5.296	1.01
      NotA	         2	         3	        45	5.376	1.01
      NotA	         2	         3	        46	5.528	1.076
      NotA	         2	         3	        47	5.779	1.151
      NotA	         2	         3	        48	5.869	1.15
      NotA	         2	         3	        49	6.012	1.28
      NotA	         2	         3	        50	6.093	1.26
      NotA	         2	         3	        51	6.213	1.32
      NotA	         2	         3	        52	6.312	1.385
      NotA	         2	         3	        53	6.452	1.42
      NotA	         2	         3	        54	6.532	1.43
      NotA	         2	         3	        55	6.668	1.45
      NotA	         2	         3	        56	6.759	1.461
      NotA	         2	         3	        57	6.92	1.4
      NotA	         2	         3	        58	7.001	1.41
      NotA	         2	         3	        59	7.144	1.37
      NotA	         2	         3	        60	7.224	1.371
      NotA	         2	         3	        61	7.364	1.39
      NotA	         2	         3	        62	7.444	1.391
      NotA	         2	         3	        63	7.628	1.5
      NotA	         2	         3	        64	7.858	1.51
      NotA	         2	         3	        65	8.059	1.56
      NotA	         2	         3	        66	8.132	1.56
      NotA	         2	         3	        67	8.266	1.6
      NotA	         2	         3	        68	8.346	1.605
      NotA	         2	         3	        69	8.486	1.53
      NotA	         2	         3	        70	8.581	1.591
      NotA	         2	         3	        71	8.724	1.591
      NotA	         2	         3	        72	8.805	1.58
      NotA	         2	         3	        73	8.976	1.62
      NotA	         2	         3	        74	9.204	1.63
      NotA	         2	         3	        75	9.403	1.591
      NotA	         2	         3	        76	9.484	1.571
      NotA	         2	         3	        77	9.654	1.51
      NotA	         2	         3	        78	9.837	1.46
      NotA	         2	         3	        79	9.927	1.491
      NotA	         2	         3	        80	10.088	1.48
      NotA	         2	         3	        81	10.178	1.47
      NotA	         2	         3	        82	10.346	1.67
      NotA	         2	         3	        83	10.536	1.745
      NotA	         2	         3	        84	10.619	1.76
      NotA	         2	         3	        85	10.799	1.76
      NotA	         2	         3	        86	10.972	1.69
      NotA	         2	         3	        87	11.062	1.675
      NotA	         2	         3	        88	11.237	1.6
      NotA	         2	         3	        89	11.447	1.546
      NotA	         2	         3	        90	11.528	1.555
      NotA	         2	         3	        91	11.658	1.475
      NotA	         2	         3	        92	11.686	1.52
      NotA	         2	         3	        93	11.757	1.53
      NotA	         2	         3	        94	11.9	1.566
      NotA	         2	         3	        95	11.981	1.556
      NotA	         2	         3	        96	12.124	1.565
      NotA	         2	         3	        97	12.195	1.58
      NotA	         2	         3	        98	12.384	1.56
      NotA	         2	         3	        99	12.622	1.5
      NotA	         2	         3	       100	12.805	1.431
      NotA	         2	         3	       101	12.885	1.426
      NotA	         2	         3	       102	13.066	1.38
      NotA	         2	         3	       103	13.238	1.261
      NotA	         2	         3	       104	13.328	1.251
      NotA	         2	         3	       105	13.462	1.105
      NotA	         2	         3	       106	13.542	1.17
      NotA	         2	         3	       107	13.78	1.171
      NotA	         2	         3	       108	13.972	1.16
      NotA	         2	         3	       109	14.192	1.14
      NotA	         2	         3	       110	14.413	1.09
      NotA	         2	         3	       111	14.635	1.07
